sample_id,curve_id,load_case,deployment,response_axis,step,force,displacement,signed_force,signed_displacement,converged,final_load,reference_stiffness,target_linear_displacement
miura_00002,0,bending,0.3,z,25,1599.96399709411,0.00424056450491939,-1599.96399709411,-0.00424056450491939,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,26,1663.96255697787,0.00441669610275501,-1663.96255697787,-0.00441669610275501,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,27,1727.96111686164,0.0045936367300342,-1727.96111686164,-0.0045936367300342,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,28,1791.9596767454,0.00477142630292419,-1791.9596767454,-0.00477142630292419,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,29,1855.95823662917,0.00495010584769578,-1855.95823662917,-0.00495010584769578,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,30,1919.95679651293,0.00512971756342163,-1919.95679651293,-0.00512971756342163,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,31,1983.95535639669,0.00531030488734906,-1983.95535639669,-0.00531030488734906,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,32,2047.95391628046,0.00549191256319354,-2047.95391628046,-0.00549191256319354,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,33,2111.95247616422,0.00567458671240694,-2111.95247616422,-0.00567458671240694,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,34,2175.95103604799,0.00585837490867308,-2175.95103604799,-0.00585837490867308,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,35,2239.94959593175,0.00604332625578082,-2239.94959593175,-0.00604332625578082,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,36,2303.94815581552,0.00622949146907787,-2303.94815581552,-0.00622949146907787,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,37,2367.94671569928,0.00641692296071999,-2367.94671569928,-0.00641692296071999,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,38,2431.94527558304,0.00660567492889858,-2431.94527558304,-0.00660567492889858,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,39,2495.94383546681,0.00679580345132658,-2495.94383546681,-0.00679580345132658,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,40,2559.94239535057,0.00698736658315743,-2559.94239535057,-0.00698736658315743,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,41,2623.94095523434,0.00718042445965285,-2623.94095523434,-0.00718042445965285,1,3839.91359302586,383991.359302586,0.01
