sample_id,source_name,pattern,curve_id,load_case,deployment,source_stiff,curve_final_stiff,rel_stiff_error,secant_stiff_cv,disp_final
miura_00003,miura,1,2,bending,0.9,42065.6466622647,42065.31490892938,7.886562115208259e-06,2.5841679411070987e-06,0.000713176641253
miura_00003,miura,1,3,axial,0.3,38814.6635536106,38956.3083587867,0.003649260156035219,0.0011681402411371274,0.0007700935038223
miura_00003,miura,1,4,axial,0.6,74855.7416017229,75169.19146743958,0.004187385750373351,0.001340304187480721,0.0003990996765343
miura_00003,miura,1,5,axial,0.9,616917.192224209,618262.0753064664,0.0021800058406683054,0.000698102328632115,4.8523112120583e-05
miura_00004,miura,1,0,bending,0.3,20123.0417247731,20120.64362823076,0.00011917167270927637,3.8953427561406776e-05,0.0014910059814343
miura_00004,miura,1,1,bending,0.6,6830.27008845333,6838.537307351174,0.0012103795004856227,0.00037553580760817947,0.0043869030249716
miura_00004,miura,1,2,bending,0.9,5456.1407822165,5461.649675836,0.0010096685256830613,0.00031329723128135174,0.0054928458946624
miura_00004,miura,1,3,axial,0.3,44203.7061503281,44400.14150043173,0.004443866073934916,0.001423369636534545,0.0006756735223402
miura_00004,miura,1,4,axial,0.6,69487.8254479921,69768.34357845248,0.004036939257371472,0.0012922938678256487,0.0004299944424833
miura_00004,miura,1,5,axial,0.9,296683.396228401,297683.1690792562,0.0033698308148175666,0.0010787315454514827,0.0001007782875088
miura_00005,miura,1,0,bending,0.3,228927.357393849,228843.0167692236,0.0003684165387026534,0.00011477014999234934,0.0001310942340454
miura_00005,miura,1,1,bending,0.6,69206.1216586128,69193.50425718816,0.0001823162622358143,5.699398147178329e-05,0.0004335667100844
miura_00005,miura,1,2,bending,0.9,25371.6651515964,25372.148128093253,1.9036058294433786e-05,5.964069186715266e-06,0.0011823988985301
miura_00005,miura,1,3,axial,0.3,8075.66071832058,8236.080046088471,0.019864545250639548,0.006306368449427365,0.0036425095229918
miura_00005,miura,1,4,axial,0.6,18943.9415701235,19397.976705744186,0.023967300254807783,0.007598330586024576,0.001546553048036
miura_00005,miura,1,5,axial,0.9,274652.436708387,276637.03935961373,0.0072258694479885475,0.00230877694875625,0.000108445347989
miura_00006,miura,1,0,bending,0.3,68335.8668182171,68326.56163236467,0.00013616840300248025,5.994002465979463e-05,0.0004390679010224
miura_00006,miura,1,1,bending,0.6,20410.1632919412,20417.60086786107,0.00036440550785827436,0.00012101892361451665,0.0014693205237067
miura_00006,miura,1,2,bending,0.9,9973.16666617711,9983.353204596873,0.0010213945841604324,0.00032325730713932686,0.0030050023659572
miura_00006,miura,1,3,axial,0.3,13106.8232391777,13229.618045587773,0.00936876954615715,0.002989000927498129,0.0022676391636269
miura_00006,miura,1,4,axial,0.6,23300.6760413162,23632.05536123206,0.014221875765675782,0.004527860763095622,0.0012694621581335
miura_00006,miura,1,5,axial,0.9,212163.799022804,214331.07105422145,0.01021508872578442,0.0032595342286569533,0.0001399703731822
miura_00007,miura,1,0,bending,0.3,216144.766237766,216126.03756675986,8.664873701141868e-05,2.721442343522588e-05,0.0001388078934762
miura_00007,miura,1,1,bending,0.6,60676.6357373499,60672.6890809006,6.504408824479938e-05,2.0442809944317173e-05,0.0004944564095387
miura_00007,miura,1,2,bending,0.9,18508.191305863,18508.840873686622,3.5096234574516804e-05,1.1104266703680729e-05,0.0016208470430285
miura_00007,miura,1,3,axial,0.3,52470.936717988,52628.30881379451,0.002999224059069629,0.0009605986716688504,0.0005700354177472
miura_00007,miura,1,4,axial,0.6,87465.9214841538,87733.45193827903,0.003058682165415644,0.0009793886823802325,0.0003419448264854
miura_00007,miura,1,5,axial,0.9,459509.656847598,460537.61800075596,0.0022370828073781323,0.0007172217797441581,6.51412584497077e-05
miura_00008,miura,1,0,bending,0.3,6933.11314155766,6981.041241464622,0.00691292626102933,0.0021501416450838335,0.0042973532116974
miura_00008,miura,1,1,bending,0.6,2650.17092496789,2679.1662410841905,0.010940923033729073,0.00338699319663191,0.0111975134427865
