sample_id,source_name,pattern,curve_id,load_case,deployment,source_stiff,curve_final_stiff,rel_stiff_error,secant_stiff_cv,secant_change_ratio,max_linearity_error,force_final,expected_final_load,disp_final,disp_min,disp_max,nonmonotonic_segments,nonmonotonic_step_count,max_displacement_drop,total_displacement_drop,snap_like_response,strain_energy_total_final,strain_energy_total_max,strain_energy_crease_final,strain_energy_crease_max,strain_energy_panel_final,strain_energy_panel_max,max_bar_stress_final,max_bar_stress_max,max_bar_strain_final,max_bar_strain_max,max_crease_moment_final,max_crease_moment_max,max_crease_rotation_final,max_crease_rotation_max
miura_00006,miura,1,5,axial,0.9,212163.799022804,418380.3438198241,0.9719685721448422,0.18282576521691776,0.9449292241724061,0.4928925267240266,3182.45698534206,3182.45698534206,0.0076066120991396,0.000184929027107,0.0076066120991396,0,0,0.0,0.0,False,9.68592263381432,9.68592263381432,2.83938383302567,2.83938383302567,6.84653880078865,6.84653880078865,34773435.5344386,34773435.5344386,0.0123266455343225,0.0123266455343225,1.12117792624537,1.12117792624537,5.06041909715868,5.06048894066038
miura_00007,miura,1,0,bending,0.3,216144.766237766,152679.14156438483,0.29362554448145645,0.10231801742502729,0.29352797892803695,0.4156797321696865,3242.17149356649,3242.17149356649,0.0212351959825453,0.0001875258977956,0.0212351959825453,0,0,0.0,0.0,False,39.650824433276,39.650824433276,6.31617495940675,6.31617495940675,33.3346494738692,33.3346494738692,30239172.3278965,30239172.3278965,0.0191848489494896,0.0191848489494896,5.60119272410958,5.60119272410958,6.1181572122959,6.1181572122959
miura_00007,miura,1,1,bending,0.6,60676.6357373499,59793.18243695596,0.01456002445847736,0.0044190129181753005,0.014544091709909779,0.014775151018687082,910.149536060248,910.149536060248,0.0152216272652803,0.0001875030315295,0.0152216272652803,0,0,0.0,0.0,False,6.97452468938052,6.97452468938052,0.124057301449389,0.124057301449389,6.85046738793113,6.85046738793113,21815170.6573119,21815170.6573119,0.0138403508313542,0.0138403508313542,2.45269707913306,2.45269707913306,5.79837490118704,5.79837490118704
miura_00007,miura,1,2,bending,0.9,18508.191305863,18602.361362709875,0.005088020503496856,0.0015380497054993576,0.0050883477338907745,0.005062263602493149,277.622869587945,277.622869587945,0.0149240660459626,0.0001875000610451,0.0149240660459626,0,0,0.0,0.0,False,2.06628187384189,2.06628187384189,0.011251859768541,0.011251859768541,2.05503001407335,2.05503001407335,16064830.6346869,16064830.6346869,0.0101921225152475,0.0101921225152475,1.00891335013405,1.00891335013405,5.05829558994783,5.05829558994783
miura_00007,miura,1,3,axial,0.3,52470.936717988,56507.76847900406,0.07693462349857687,0.021274415009094733,0.07611289834653845,0.07143852729764005,787.06405076982,787.06405076982,0.0139284220905354,0.0001873569333155,0.0139284220905354,0,0,0.0,0.0,False,5.35162640396786,5.35162640396786,4.87675681857089,4.87675681857089,0.474869585396966,0.474869585396966,10937832.0411982,10937832.0411982,0.0069393650484174,0.0069393650484174,0.598448491289983,0.598448491289983,6.03850298496324,6.06861252661589
miura_00007,miura,1,4,axial,0.6,87465.9214841538,100503.66105121782,0.14906079243018158,0.04008359394126923,0.14731770828193502,0.1297240262762152,1311.98882226231,1311.98882226231,0.0130541396058568,0.0001872155692023,0.0130541396058568,0,0,0.0,0.0,False,8.16339575112005,8.16339575112005,6.59079322504134,6.59079322504134,1.57260252607871,1.57260252607871,16505244.1019492,16505244.1019492,0.0104715371021656,0.0104715371021656,1.2519870599989,1.2519870599989,5.75939798473716,5.78068951378577
miura_00007,miura,1,5,axial,0.9,459509.656847598,680958.24984091,0.48192369777934424,0.11015327120374667,0.47182544071461363,0.32520142467625335,6892.64485271397,6892.64485271397,0.0101219786298562,0.0001862223207224,0.0101219786298562,0,0,0.0,0.0,False,30.7081386673972,30.7081386673972,9.6831445303062,9.6831445303062,21.0249941370909,21.0249941370909,33519843.9574838,33519843.9574838,0.0212662283266772,0.0212662283266772,2.42585624984755,2.42585624984755,5.04006812963975,5.05338181123019
miura_00008,miura,1,0,bending,0.3,6933.11314155766,7358.606923290504,0.06137124449655933,0.01812326933491078,0.06156561100339375,0.05782259959913422,103.996697123365,103.996697123365,0.014132661006013,0.0001875343364494,0.014132661006013,0,0,0.0,0.0,False,0.714130934679092,0.714130934679092,0.0420721222094126,0.0420721222094126,0.67205881246968,0.67205881246968,7979187.01167641,7979187.01167641,0.0021064089901969,0.0021064089901969,0.11516786738976,0.11516786738976,6.08396580857959,6.08396580857959
miura_00008,miura,1,1,bending,0.6,2650.17092496789,2700.265650768498,0.018902450905582478,0.005708187966248216,0.019069433889166598,0.018551776854381266,39.7525638745184,39.7525638745184,0.0147217233471843,0.0001875307284661,0.0147217233471843,0,0,0.0,0.0,False,0.289900788975615,0.289900788975615,0.0156249757512445,0.0156249757512445,0.27427581322437,0.27427581322437,7615511.1745801,7615511.1745801,0.002010402962057,0.002010402962057,0.07257908304923,0.07257908304923,5.79101748470203,5.79101748470203
miura_00008,miura,1,2,bending,0.9,3197.13297805199,3216.5403016099103,0.006070227197664202,0.0018730808949502663,0.005914062087028604,0.006033601863532288,47.9569946707798,47.9569946707798,0.014909495972047,0.0001874708957114,0.014909495972047,0,0,0.0,0.0,False,0.356234449822101,0.356234449822101,0.0199468775251821,0.0199468775251821,0.336287572296919,0.336287572296919,14403375.5910938,14403375.5910938,0.0038023171771593,0.0038023171771593,0.0603310924755253,0.0603310924755253,5.06806709641437,5.06806709641437
miura_00008,miura,1,3,axial,0.3,62164.6987230109,68636.19439859786,0.10410242160783555,0.02795382803469428,0.10259627254994563,0.09428692444695279,932.470480845163,932.470480845163,0.0135856961332957,0.0001872442239571,0.0135856961332957,0,0,0.0,0.0,False,6.15174666995754,6.15174666995754,5.7354879092868,5.7354879092868,0.41625876067074,0.41625876067074,39997982.151038,39997982.151038,0.0105589841508156,0.0105589841508156,0.539579523296521,0.539579523296521,6.041976713004,6.06864047934605
miura_00008,miura,1,4,axial,0.6,100070.294457203,116389.32914648423,0.16307571370503351,0.04265280926482125,0.1604798574995705,0.1402107461994439,1501.05441685804,1501.05441685804,0.0128968388070083,0.0001870815207619,0.0128968388070083,0,0,0.0,0.0,False,9.22007135689936,9.22007135689936,8.16277355132587,8.16277355132587,1.0572978055735,1.0572978055735,54189776.7761348,54189776.7761348,0.0143054465086457,0.0143054465086457,0.582019111348487,0.582019111348487,5.75289631097609,5.78064767475287
miura_00008,miura,1,5,axial,0.9,450372.345177969,665718.3556700677,0.47815105167481503,0.10851602247443137,0.46677537472709574,0.3234791539965061,6755.58517766953,6755.58517766954,0.0101478126900524,0.0001860570220139,0.0101478126900524,0,0,0.0,0.0,False,30.2587494428858,30.2587494428858,13.8790517311208,13.8790517311208,16.379697711765,16.379697711765,101608613.373791,101608613.373791,0.0268234465966018,0.0268234465966018,0.640169754996334,0.640169754996334,5.03032934649355,5.05319038095835
miura_00009,miura,1,0,bending,0.3,164919.225992508,50675.06143851609,0.6927279937584829,0.4023262401517554,0.692551413518343,2.25444550654574,2473.78838988762,2473.78838988762,0.0488166825981861,0.0001876077507692,0.0488166825981861,0,0,0.0,0.0,False,76.6457006299538,76.6457006299538,15.6160528073985,15.6160528073985,61.0296478225554,61.0296478225554,38220442.6852882,38220442.6852882,0.0109177968936583,0.0109177968936583,7.16352411079302,7.16352411079302,6.21350709589782,6.21350709589782
miura_00009,miura,1,1,bending,0.6,50627.6409180823,46909.94372434855,0.07343216326727814,0.023319099616285605,0.07341641169410906,0.079251793939034,759.414613771234,759.414613771234,0.0161887769090855,0.0001875031874838,0.0161887769090855,0,0,0.0,0.0,False,6.36296740713853,6.36296740713853,0.172319869843979,0.172319869843979,6.19064753729455,6.19064753729455,20207803.8376362,20207803.8376362,0.0057724265462556,0.0057724265462556,1.86781884621285,1.86781884621285,5.79934140106675,5.79934140106675
miura_00009,miura,1,2,bending,0.9,24354.4658821746,24472.7642551449,0.0048573585453533475,0.0014485117775854181,0.004853985253669979,0.004833878663519903,365.316988232619,365.316988232619,0.0149274918200472,0.0001874993705652,0.0149274918200472,0,0,0.0,0.0,False,2.72034352229957,2.72034352229957,0.0022253868730684,0.0022253868730684,2.7181181354265,2.7181181354265,23066306.5806869,23066306.5806869,0.0065889673860771,0.0065889673860771,0.885114693688368,0.885114693688368,5.06101749076055,5.06101749076055
miura_00009,miura,1,3,axial,0.3,9943.96183939382,10731.04401204947,0.07915176922115279,0.022446896288572316,0.07976557047094412,0.07334628129116481,149.159427590907,149.159427590907,0.0138998057806325,0.000187606646477,0.0138998057806325,0,0,0.0,0.0,False,1.00874403154288,1.00874403154288,0.746605111320756,0.746605111320756,0.262138920222123,0.262138920222123,9084579.90274493,9084579.90274493,0.0025950405404528,0.0025950405404528,0.496214377527399,0.496214377527399,6.06565951050467,6.06885059471433
miura_00009,miura,1,4,axial,0.6,20389.0455757056,25264.602469860514,0.23912629338395042,0.062382643961190504,0.23834947735799328,0.19297975893233332,305.835683635584,305.835683635584,0.012105303616015,0.0001873824550769,0.012105303616015,0,0,0.0,0.0,False,1.71554944169214,1.71554944169214,0.959529419863273,0.959529419863273,0.75602002182887,0.75602002182887,11567546.3021847,11567546.3021847,0.0033043081715495,0.0033043081715495,0.946850298550525,0.946850298550525,5.79299628296308,5.79299628296308
