sample_id,source_name,pattern,curve_id,load_case,deployment,source_stiff,curve_final_stiff,rel_stiff_error,secant_stiff_cv,secant_change_ratio,max_linearity_error,force_final,expected_final_load,disp_final,disp_min,disp_max
miura_00011,miura,1,3,axial,0.3,72794.670172513,78657.92238050909,0.08054507554057211,0.022006918176615625,0.07943688274547722,0.07454115276058902,1091.92005258769,1091.92005258769,0.0138818827085911,0.00018730770247,0.0138818827085911
miura_00011,miura,1,4,axial,0.6,115012.703963954,128905.46484008797,0.12079327237179016,0.03285643929716578,0.11930633343784769,0.10777480142807323,1725.19055945931,1725.19055945931,0.0133833779785789,0.0001872512466777,0.0133833779785789
miura_00011,miura,1,5,axial,0.9,434942.600228238,571188.2797882869,0.3132497931647841,0.07779542138209718,0.30805718263030535,0.23853024367122672,6524.13900342357,6524.13900342357,0.0114220463449316,0.0001867586220228,0.0114220463449316
miura_00012,miura,1,0,bending,0.3,66204.6931049585,46993.70714358626,0.29017559119133507,0.10364895032047225,0.29008688532347604,0.4087991165003071,993.070396574377,993.070396574377,0.0211319867475046,0.0001875234316403,0.0211319867475046
miura_00012,miura,1,1,bending,0.6,21192.6924221999,21093.298356071726,0.0046900159804167275,0.0014390634935661929,0.004687897354560211,0.004712115879191712,317.890386332999,317.890386332999,0.0150706817381879,0.0001875003991142,0.0150706817381879
miura_00012,miura,1,2,bending,0.9,12496.2091334305,12577.147456971012,0.006477030167811519,0.0019419158420023385,0.006479320517676523,0.0064353482232293955,187.443137001458,187.443137001458,0.0149034697766516,0.000187500426677,0.0149034697766516
miura_00012,miura,1,3,axial,0.3,20533.7566249411,21971.43317156489,0.07001527157858364,0.019664427235961856,0.06980200166563177,0.06543389934546509,308.006349374116,308.006349374116,0.014018491509818,0.0001874626284692,0.014018491509818
miura_00012,miura,1,4,axial,0.6,34716.3309009395,40561.63649652785,0.1683733690713888,0.045099771075029174,0.16708361337306354,0.1441092150236274,520.744963514093,520.744963514093,0.0128383617746456,0.0001872930206218,0.0128383617746456
miura_00012,miura,1,5,axial,0.9,235850.380530767,426934.79796088923,0.8101933819233123,0.1625302200555671,0.7901325538390112,0.4475728339380459,3537.7557079615,3537.7557079615,0.0082864074909293,0.0001854220975486,0.0082864074909293
miura_00013,miura,1,0,bending,0.3,2333.23777066176,2480.057040027298,0.06292512113923861,0.018853737895319342,0.06343915635820685,0.059199956692900194,34.9985665599264,34.9985665599264,0.0141120006496065,0.0001875906758168,0.0141120006496065
miura_00013,miura,1,1,bending,0.6,853.433270772327,868.099755037537,0.01718527360895754,0.00547508737239417,0.01823082266100906,0.016894929620819735,12.8014990615849,12.8014990615849,0.0147465760556877,0.0001876927283577,0.0147465760556877
miura_00013,miura,1,2,bending,0.9,886.641010083469,893.3630867183092,0.0075815088162991045,0.002404900362107066,0.00798300240436478,0.00752446204099744,13.299615151252,13.299615151252,0.014887133069385,0.0001875747136059,0.014887133069385
miura_00013,miura,1,3,axial,0.3,64770.4323715121,74596.66197685566,0.15170856894982557,0.04012358719743004,0.14943096695471358,0.13172478962117962,971.556485572681,971.556485572681,0.0130241281556823,0.0001871292027466,0.0130241281556823
miura_00013,miura,1,4,axial,0.6,91227.1923395597,104202.43293519427,0.142229967434918,0.03684996469556994,0.13947281892342756,0.12451955515956288,1368.4078850934,1368.4078850934,0.0131322066726066,0.000187047406949,0.0131322066726066
miura_00013,miura,1,5,axial,0.9,180917.251348766,212062.72679062342,0.17215315405061205,0.043470073817112216,0.1680525569934348,0.1468691642006867,2713.75877023149,2713.75877023149,0.0127969625369897,0.0001868440601635,0.0127969625369897
miura_00014,miura,1,0,bending,0.3,76981.3106525717,39198.91408120541,0.4907996012419685,0.20604451734688725,0.4909663815218882,0.9638633481809056,1154.71965978858,1154.71965978858,0.0294579502227137,0.0001874385874352,0.0294579502227137
miura_00014,miura,1,1,bending,0.6,26289.4407749262,25746.048677789084,0.02066959513476531,0.006905816501323716,0.020759572668015758,0.021105844393353168,394.341611623893,394.341611623893,0.0153165876659003,0.0001874827731403,0.0153165876659003
miura_00014,miura,1,2,bending,0.9,13444.6006827123,13675.226281516287,0.017153770814520047,0.004992897572784802,0.01718889701459858,0.01686448136625751,201.669010240684,201.669010240684,0.0147470327795061,0.0001875064750903,0.0147470327795061
miura_00014,miura,1,3,axial,0.3,8420.56309865375,9014.065557741134,0.07048251430860611,0.02007831939830795,0.07136828637762394,0.0658418174668913,126.308446479806,126.308446479806,0.0140123727379966,0.0001876551471049,0.0140123727379966
miura_00014,miura,1,4,axial,0.6,15224.6925105527,17904.065181829745,0.17598862304902965,0.04738776931580748,0.17611664917980185,0.14965163743909138,228.37038765829,228.37038765829,0.0127552254384136,0.000187520412527,0.0127552254384136
miura_00014,miura,1,5,axial,0.9,119843.572423474,207549.1159881363,0.7318335209063179,0.15076948371778515,0.7151723840209272,0.4225772928354733,1797.65358635211,1797.65358635211,0.0086613406074679,0.0001856961527316,0.0086613406074679
miura_00015,miura,1,0,bending,0.3,12175.9202013282,11637.083884981561,0.04425425819461759,0.013932082167001395,0.04426965399897376,0.04630337992510673,182.638803019923,182.638803019923,0.0156945506988766,0.0001874969796221,0.0156945506988766
miura_00015,miura,1,1,bending,0.6,3897.88101304774,3941.5993697357,0.011215928998760432,0.0033844729624957445,0.01123788720048613,0.011091527217006642,58.4682151957161,58.4682151957161,0.0148336270917449,0.0001875040714972,0.0148336270917449
miura_00015,miura,1,2,bending,0.9,2256.27945152868,2272.2977725517003,0.007099440192201131,0.0021559620756519634,0.007184748102559535,0.007049393445046661,33.8441917729302,33.8441917729302,0.0148942590983243,0.0001875158824765,0.0148942590983243
miura_00015,miura,1,3,axial,0.3,13865.4210708416,14904.586255488157,0.07494652916324902,0.020913025420025582,0.07514078904886068,0.06972116950001996,207.981316062624,207.981316062624,0.0139541824574997,0.0001875338842236,0.0139541824574997
