sample_id,source_name,source_row,curve_id,load_case,deployment,response_axis,pattern,m,n,tcrease,tpanel,W,creaseE,panelE
miura_01892,miura,1892,2,bending,0.9,z,1,36,6,0.000959587575821964,0.00260887726396364,0.00179629012944612,1820139019.20453,1310140478.09606
miura_01892,miura,1892,3,axial,0.3,x,1,36,6,0.000959587575821964,0.00260887726396364,0.00179629012944612,1820139019.20453,1310140478.09606
miura_01892,miura,1892,4,axial,0.6,x,1,36,6,0.000959587575821964,0.00260887726396364,0.00179629012944612,1820139019.20453,1310140478.09606
miura_01892,miura,1892,5,axial,0.9,x,1,36,6,0.000959587575821964,0.00260887726396364,0.00179629012944612,1820139019.20453,1310140478.09606
miura_01893,miura,1893,0,bending,0.3,z,1,24,6,0.000627061568411507,0.0026610079466316,0.00205258852186973,3772884881.76693,2136582235.93763
miura_01893,miura,1893,1,bending,0.6,z,1,24,6,0.000627061568411507,0.0026610079466316,0.00205258852186973,3772884881.76693,2136582235.93763
miura_01893,miura,1893,2,bending,0.9,z,1,24,6,0.000627061568411507,0.0026610079466316,0.00205258852186973,3772884881.76693,2136582235.93763
miura_01893,miura,1893,3,axial,0.3,x,1,24,6,0.000627061568411507,0.0026610079466316,0.00205258852186973,3772884881.76693,2136582235.93763
miura_01893,miura,1893,4,axial,0.6,x,1,24,6,0.000627061568411507,0.0026610079466316,0.00205258852186973,3772884881.76693,2136582235.93763
miura_01893,miura,1893,5,axial,0.9,x,1,24,6,0.000627061568411507,0.0026610079466316,0.00205258852186973,3772884881.76693,2136582235.93763
miura_01894,miura,1894,0,bending,0.3,z,1,24,9,0.000953512781814502,0.00333560040495121,0.00341962083128875,3199025839.60523,3835693032.19812
miura_01894,miura,1894,1,bending,0.6,z,1,24,9,0.000953512781814502,0.00333560040495121,0.00341962083128875,3199025839.60523,3835693032.19812
miura_01894,miura,1894,2,bending,0.9,z,1,24,9,0.000953512781814502,0.00333560040495121,0.00341962083128875,3199025839.60523,3835693032.19812
miura_01894,miura,1894,3,axial,0.3,x,1,24,9,0.000953512781814502,0.00333560040495121,0.00341962083128875,3199025839.60523,3835693032.19812
miura_01894,miura,1894,4,axial,0.6,x,1,24,9,0.000953512781814502,0.00333560040495121,0.00341962083128875,3199025839.60523,3835693032.19812
miura_01894,miura,1894,5,axial,0.9,x,1,24,9,0.000953512781814502,0.00333560040495121,0.00341962083128875,3199025839.60523,3835693032.19812
miura_01895,miura,1895,0,bending,0.3,z,1,24,12,0.000678559222942194,0.00457410418015587,0.0022056463652366,3266601255.07364,2735858147.07744
miura_01895,miura,1895,1,bending,0.6,z,1,24,12,0.000678559222942194,0.00457410418015587,0.0022056463652366,3266601255.07364,2735858147.07744
miura_01895,miura,1895,2,bending,0.9,z,1,24,12,0.000678559222942194,0.00457410418015587,0.0022056463652366,3266601255.07364,2735858147.07744
miura_01895,miura,1895,3,axial,0.3,x,1,24,12,0.000678559222942194,0.00457410418015587,0.0022056463652366,3266601255.07364,2735858147.07744
miura_01895,miura,1895,4,axial,0.6,x,1,24,12,0.000678559222942194,0.00457410418015587,0.0022056463652366,3266601255.07364,2735858147.07744
miura_01895,miura,1895,5,axial,0.9,x,1,24,12,0.000678559222942194,0.00457410418015587,0.0022056463652366,3266601255.07364,2735858147.07744
miura_01896,miura,1896,0,bending,0.3,z,1,36,12,0.000663307552641393,0.00288721074542602,0.00242529231459977,3661202777.38884,3544222879.68198
miura_01896,miura,1896,1,bending,0.6,z,1,36,12,0.000663307552641393,0.00288721074542602,0.00242529231459977,3661202777.38884,3544222879.68198
