sample_id,curve_id,load_case,deployment,response_axis,step,force,displacement,signed_force,signed_displacement,converged
miura_00003,3,axial,0.3,x,14,1.4,3.60766329518986e-05,1.4,3.60766329518986e-05,1
miura_00003,3,axial,0.3,x,15,1.5,3.86530164809755e-05,1.5,3.86530164809755e-05,1
miura_00003,3,axial,0.3,x,16,1.6,4.12293313006876e-05,1.6,4.12293313006876e-05,1
miura_00003,3,axial,0.3,x,17,1.7,4.38055754389431e-05,1.7,4.38055754389431e-05,1
miura_00003,3,axial,0.3,x,18,1.8,4.63817491392873e-05,1.8,4.63817491392873e-05,1
miura_00003,3,axial,0.3,x,19,1.9,4.89578527931573e-05,1.9,4.89578527931573e-05,1
miura_00003,3,axial,0.3,x,20,2,5.1533886415823e-05,2,5.1533886415823e-05,1
miura_00003,3,axial,0.3,x,21,2.1,5.41098509790451e-05,2.1,5.41098509790451e-05,1
miura_00003,3,axial,0.3,x,22,2.2,5.66857436852562e-05,2.2,5.66857436852562e-05,1
miura_00003,3,axial,0.3,x,23,2.3,5.92615682399645e-05,2.3,5.92615682399645e-05,1
miura_00003,3,axial,0.3,x,24,2.4,6.18373217990683e-05,2.4,6.18373217990683e-05,1
miura_00003,3,axial,0.3,x,25,2.5,6.44130063651335e-05,2.5,6.44130063651335e-05,1
miura_00003,3,axial,0.3,x,26,2.6,6.69886208296719e-05,2.6,6.69886208296719e-05,1
miura_00003,3,axial,0.3,x,27,2.7,6.95641646882566e-05,2.7,6.95641646882566e-05,1
miura_00003,3,axial,0.3,x,28,2.8,7.21396391968262e-05,2.8,7.21396391968262e-05,1
miura_00003,3,axial,0.3,x,29,2.9,7.4715043519464e-05,2.9,7.4715043519464e-05,1
miura_00003,3,axial,0.3,x,30,3,7.72903774802428e-05,3,7.72903774802428e-05,1
miura_00003,4,axial,0.6,x,1,0.1,1.336839694833e-06,0.1,1.336839694833e-06,1
miura_00003,4,axial,0.6,x,2,0.2,2.67327211560772e-06,0.2,2.67327211560772e-06,1
miura_00003,4,axial,0.6,x,3,0.3,4.00968173155544e-06,0.3,4.00968173155544e-06,1
miura_00003,4,axial,0.6,x,4,0.4,5.3460471841533e-06,0.4,5.3460471841533e-06,1
miura_00003,4,axial,0.6,x,5,0.5,6.68237237395328e-06,0.5,6.68237237395328e-06,1
miura_00003,4,axial,0.6,x,6,0.6,8.01865654415115e-06,0.6,8.01865654415115e-06,1
miura_00003,4,axial,0.6,x,7,0.7,9.35490026391095e-06,0.7,9.35490026391095e-06,1
miura_00003,4,axial,0.6,x,8,0.8,1.06911025722433e-05,0.8,1.06911025722433e-05,1
miura_00003,4,axial,0.6,x,9,0.9,1.20272621516612e-05,0.9,1.20272621516612e-05,1
miura_00003,4,axial,0.6,x,10,1,1.33633827729493e-05,1,1.33633827729493e-05,1
miura_00003,4,axial,0.6,x,11,1.1,1.46994593250506e-05,1.1,1.46994593250506e-05,1
miura_00003,4,axial,0.6,x,12,1.2,1.60354962587469e-05,1.2,1.60354962587469e-05,1
miura_00003,4,axial,0.6,x,13,1.3,1.73714905787782e-05,1.3,1.73714905787782e-05,1
miura_00003,4,axial,0.6,x,14,1.4,1.87074454811905e-05,1.4,1.87074454811905e-05,1
miura_00003,4,axial,0.6,x,15,1.5,2.00433561983471e-05,1.5,2.00433561983471e-05,1
miura_00003,4,axial,0.6,x,16,1.6,2.13792284311315e-05,1.6,2.13792284311315e-05,1
miura_00003,4,axial,0.6,x,17,1.7,2.2715058296537e-05,1.7,2.2715058296537e-05,1
miura_00003,4,axial,0.6,x,18,1.8,2.40508467133088e-05,1.8,2.40508467133088e-05,1
miura_00003,4,axial,0.6,x,19,1.9,2.53865939226254e-05,1.9,2.53865939226254e-05,1
miura_00003,4,axial,0.6,x,20,2,2.67222991556406e-05,2,2.67222991556406e-05,1
miura_00003,4,axial,0.6,x,21,2.1,2.80579646066962e-05,2.1,2.80579646066962e-05,1
miura_00003,4,axial,0.6,x,22,2.2,2.93935873544484e-05,2.2,2.93935873544484e-05,1
miura_00003,4,axial,0.6,x,23,2.3,3.0729169459678e-05,2.3,3.0729169459678e-05,1
miura_00003,4,axial,0.6,x,24,2.4,3.20647103556657e-05,2.4,3.20647103556657e-05,1
miura_00003,4,axial,0.6,x,25,2.5,3.34002088532356e-05,2.5,3.34002088532356e-05,1
miura_00003,4,axial,0.6,x,26,2.6,3.47356676878362e-05,2.6,3.47356676878362e-05,1
miura_00003,4,axial,0.6,x,27,2.7,3.60710831484333e-05,2.7,3.60710831484333e-05,1
miura_00003,4,axial,0.6,x,28,2.8,3.74064591849109e-05,2.8,3.74064591849109e-05,1
miura_00003,4,axial,0.6,x,29,2.9,3.87417940665923e-05,2.9,3.87417940665923e-05,1
miura_00003,4,axial,0.6,x,30,3,4.00770859511738e-05,3,4.00770859511738e-05,1
miura_00003,5,axial,0.9,x,1,0.1,1.62145290738362e-07,0.1,1.62145290738362e-07,1
miura_00003,5,axial,0.9,x,2,0.2,3.24251465170576e-07,0.2,3.24251465170576e-07,1
miura_00003,5,axial,0.9,x,3,0.3,4.86388281152825e-07,0.3,4.86388281152825e-07,1
miura_00003,5,axial,0.9,x,4,0.4,6.48513864938984e-07,0.4,6.48513864938984e-07,1
miura_00003,5,axial,0.9,x,5,0.5,8.10637547105444e-07,0.5,8.10637547105444e-07,1
miura_00003,5,axial,0.9,x,6,0.6,9.72757889846726e-07,0.6,9.72757889846726e-07,1
miura_00003,5,axial,0.9,x,7,0.7,1.13487428311573e-06,0.7,1.13487428311573e-06,1
miura_00003,5,axial,0.9,x,8,0.8,1.29699512909278e-06,0.8,1.29699512909278e-06,1
miura_00003,5,axial,0.9,x,9,0.9,1.4591083741394e-06,0.9,1.4591083741394e-06,1
miura_00003,5,axial,0.9,x,10,1,1.62121702292708e-06,1,1.62121702292708e-06,1
miura_00003,5,axial,0.9,x,11,1.1,1.78332508224366e-06,1.1,1.78332508224366e-06,1
miura_00003,5,axial,0.9,x,12,1.2,1.94543286023341e-06,1.2,1.94543286023341e-06,1
miura_00003,5,axial,0.9,x,13,1.3,2.10753521852119e-06,1.3,2.10753521852119e-06,1
miura_00003,5,axial,0.9,x,14,1.4,2.26963657081169e-06,1.4,2.26963657081169e-06,1
miura_00003,5,axial,0.9,x,15,1.5,2.43173500823445e-06,1.5,2.43173500823445e-06,1
miura_00003,5,axial,0.9,x,16,1.6,2.59382950376047e-06,1.6,2.59382950376047e-06,1
miura_00003,5,axial,0.9,x,17,1.7,2.75592300499024e-06,1.7,2.75592300499024e-06,1
miura_00003,5,axial,0.9,x,18,1.8,2.9180136885697e-06,1.8,2.9180136885697e-06,1
miura_00003,5,axial,0.9,x,19,1.9,3.08009974179167e-06,1.9,3.08009974179167e-06,1
miura_00003,5,axial,0.9,x,20,2,3.24218530775504e-06,2,3.24218530775504e-06,1
miura_00003,5,axial,0.9,x,21,2.1,3.40426662186589e-06,2.1,3.40426662186589e-06,1
miura_00003,5,axial,0.9,x,22,2.2,3.56634684470221e-06,2.2,3.56634684470221e-06,1
miura_00003,5,axial,0.9,x,23,2.3,3.72842336364183e-06,2.3,3.72842336364183e-06,1
miura_00003,5,axial,0.9,x,24,2.4,3.89049791047558e-06,2.4,3.89049791047558e-06,1
miura_00003,5,axial,0.9,x,25,2.5,4.05257019566503e-06,2.5,4.05257019566503e-06,1
miura_00003,5,axial,0.9,x,26,2.6,4.2146395617965e-06,2.6,4.2146395617965e-06,1
miura_00003,5,axial,0.9,x,27,2.7,4.37670549710512e-06,2.7,4.37670549710512e-06,1
miura_00003,5,axial,0.9,x,28,2.8,4.53877033190844e-06,2.8,4.53877033190844e-06,1
miura_00003,5,axial,0.9,x,29,2.9,4.70083158982152e-06,2.9,4.70083158982152e-06,1
miura_00003,5,axial,0.9,x,30,3,4.86289000059423e-06,3,4.86289000059423e-06,1
