sample_id,best_candidate,true_pattern,generated_pattern,true_m,generated_m,true_n,generated_n,true_tcrease,generated_tcrease,true_tpanel,generated_tpanel,true_W,generated_W,true_creaseE,generated_creaseE,true_panelE,generated_panelE,closed_loop_scaled_mse
miura_01692,1,1.0,1.0,24.0,24.0,6.0,6.0,0.0009152938728220761,0.0008635952835902572,0.005596816074103117,0.004025421105325222,0.0031683582346886396,0.0024315824266523123,1343052800.0,1006209344.0,1089507200.0,2218108928.0,0.02818272076547146
miura_00112,1,1.0,1.0,36.0,36.0,12.0,9.0,0.0009231955045834184,0.0009232106967829168,0.003910746891051531,0.0041603515855968,0.002541233552619815,0.0036531854420900345,2823262464.0,3517793536.0,3105421312.0,3183059456.0,0.030168704688549042
miura_01276,1,1.0,1.0,36.0,24.0,6.0,9.0,0.0007848856621421874,0.0009685507975518703,0.005817917175590992,0.003941782750189304,0.003890874097123742,0.00288676586933434,2672906240.0,1999679616.0,1260513792.0,1235534976.0,0.04709208756685257
miura_00345,0,1.0,1.0,36.0,24.0,9.0,12.0,0.0005313088186085224,0.0007658443646505475,0.0027523431926965714,0.0025715811643749475,0.003532695583999157,0.0029343762435019016,3427521792.0,2618866432.0,2177396480.0,1019795904.0,0.03622716665267944
miura_01610,1,1.0,1.0,24.0,36.0,12.0,9.0,0.0009849626803770661,0.0007929099956527352,0.0022873415146023035,0.00261013419367373,0.0035570221953094006,0.002972489921376109,1240895232.0,4314753024.0,2544589056.0,1022985536.0,0.019014764577150345
miura_01396,0,1.0,1.0,30.0,24.0,9.0,12.0,0.0008032459882088006,0.0008836118504405022,0.0014406121335923672,0.00270761176943779,0.002722347155213356,0.00284216133877635,3573296640.0,2310321920.0,2738993920.0,1682984192.0,0.011694414541125298
miura_01055,0,1.0,1.0,30.0,24.0,9.0,12.0,0.0006599272601306438,0.0007826560758985579,0.0016278059920296073,0.0011170763755217195,0.0012463540770113468,0.003067518351599574,3677498368.0,2226473216.0,1240724736.0,3364242944.0,0.01926092617213726
miura_00759,1,1.0,1.0,30.0,24.0,12.0,9.0,0.0008322462672367692,0.0008335369057022035,0.0029076237697154284,0.003466762835159898,0.0037721076514571905,0.002900623017922044,2506905856.0,3082464768.0,2026903168.0,1002466624.0,0.002376146148890257
miura_01232,0,1.0,1.0,30.0,24.0,6.0,12.0,0.0009481294546276331,0.0008246757788583636,0.0032923000399023294,0.0026230276562273502,0.0020963249262422323,0.0014100325061008334,4981301248.0,4351758336.0,2261427456.0,3156544000.0,0.16953502595424652
miura_01987,1,1.0,1.0,36.0,24.0,12.0,9.0,0.0007922071381472051,0.0008932855562306941,0.0036611713003367186,0.0019274491351097822,0.003740419168025255,0.0013358034193515778,2552441088.0,4695849472.0,4493293056.0,2390242816.0,0.27092787623405457
miura_01200,0,1.0,1.0,36.0,24.0,9.0,6.0,0.0007459071348421276,0.0006759848329238594,0.0015273651806637645,0.0020645714830607176,0.002917456440627575,0.0028983205556869507,4916021248.0,3496474368.0,1728587520.0,2251192576.0,0.026884663850069046
miura_00368,1,1.0,1.0,24.0,24.0,12.0,12.0,0.000626803666818887,0.0006766177830286324,0.001742869382724166,0.0016529109561815858,0.002655326621606946,0.0025766207836568356,2722441216.0,2671302144.0,3365949952.0,2225840384.0,0.0013966081896796823
miura_00787,1,1.0,1.0,24.0,30.0,6.0,12.0,0.0009431018843315542,0.0008219286683015525,0.0033510569483041763,0.004768158309161663,0.002315166173502803,0.0033728356938809156,4324191744.0,4409246208.0,3094001408.0,3014712064.0,0.045911259949207306
miura_00070,1,1.0,1.0,30.0,24.0,6.0,9.0,0.0005693950224667788,0.0007827443187125027,0.0021104433108121157,0.0023248125799000263,0.0018230106215924025,0.0027687721885740757,2371014400.0,1514962560.0,4364889088.0,3016707328.0,0.028194330632686615
miura_01485,1,1.0,1.0,24.0,30.0,12.0,9.0,0.0005694306455552578,0.0006468865904025733,0.0035017698537558317,0.00478529604151845,0.003215489676222205,0.002767148893326521,1409195648.0,1006209344.0,4169203712.0,2249401856.0,0.10805662721395493
miura_01634,0,1.0,1.0,30.0,30.0,9.0,9.0,0.0009810604387894273,0.0008597354753874242,0.0033680403139442205,0.004465058911591768,0.002657842356711626,0.0010009445250034332,3581983744.0,2572047872.0,3323821312.0,1163855744.0,0.030381225049495697
miura_01757,1,1.0,1.0,30.0,30.0,12.0,12.0,0.0009625422535464168,0.0009993299609050155,0.0039587258361279964,0.0024663142394274473,0.003261542646214366,0.002452664077281952,1779082752.0,1327038208.0,1463609984.0,3261888512.0,0.010747373104095459
miura_01179,1,1.0,1.0,36.0,24.0,9.0,9.0,0.0005164816975593567,0.0007567005231976509,0.004266302566975355,0.005493702832609415,0.002326784422621131,0.0025372416712343693,2972715776.0,4645212672.0,3783069184.0,2145619584.0,0.39692944288253784
miura_01493,1,1.0,1.0,24.0,30.0,9.0,6.0,0.0006381389684975147,0.000989809399470687,0.0033035362139344215,0.004614177159965038,0.001034518820233643,0.003487653099000454,3800802816.0,3733443328.0,2635216128.0,2968790016.0,0.04930831119418144
