sample_id,source_name,source_row,pattern,m,n,tcrease,tpanel,W,creaseE,panelE,bendstiff30,bendstiff60,bendstiff90,axialstiff30,axialstiff60,axialstiff90
miura_01410,miura,1410,1,36,6,0.0007614237954834,0.0045140180641925,0.002285527630775,1629337177.95029,2737372888.23887,247318.647916824,107098.846503957,32881.7430521881,24269.5726458138,44694.1705799301,282419.399983887
miura_01534,miura,1534,1,36,12,0.0007983406511879,0.0055392675967519,0.0020522372990491,1176338194.95268,4672553885.25813,575792.530073214,143026.245539319,38037.1189575118,29483.7400611995,62852.7003620152,726398.309532559
miura_01292,miura,1292,1,30,12,0.0006453198876504,0.0018480795891652,0.0029264097695449,3753892253.20413,1581479591.6922,6657.67046694923,2266.1581948388,1878.79770468805,20696.9984449682,33070.6949743978,159778.037737475
miura_01809,miura,1809,1,24,6,0.0009408245858653,0.0051500386912561,0.0011672264822363,4023225487.11829,1003251372.1189,200931.952341895,78108.0447746979,22435.5092665168,119083.836262199,175977.541314309,460513.929156225
miura_00442,miura,442,1,36,9,0.0005668092060181,0.0013990106618276,0.0034443041404982,1810133501.32058,3958140696.68909,11709.9927779104,4008.58657847186,3377.50525712222,7392.60912813029,12164.9987616399,75665.7262602758
miura_01521,miura,1521,1,36,12,0.0005073611658995,0.0015759654619687,0.0010247578527068,3626410665.2095,1417061643.21537,11312.251574202,3435.88861197526,1783.2168930612,32240.7089450187,48974.7840978464,174042.79729018
miura_01137,miura,1137,1,36,9,0.0008088265979245,0.0027740584522303,0.0018897480066157,2021988038.3175,4022784441.70627,130860.083279592,39805.5171275678,15440.1961220288,42131.7068434406,68179.9851071044,347422.267213873
miura_01716,miura,1716,1,24,12,0.0006760132649708,0.0023153341484922,0.0034088900994277,1399608458.90059,3944647731.117,23804.6117727769,8261.05602951129,7152.11225426666,7410.55325502464,13151.5319293902,137527.98088919
miura_01257,miura,1257,1,30,9,0.000823780512387,0.0059992297224362,0.0038815197877249,1938436256.22927,3230984829.61935,394132.93326133,115038.646273992,37734.5704484825,22227.9983693329,45945.2448041853,497225.794804282
miura_01864,miura,1864,1,24,6,0.0008246723831694,0.0053736764674295,0.0029726795639028,4675379397.5779,2503521465.98592,370375.478001831,133895.93527702,46812.6200178161,44113.1374540548,78100.6031039449,479360.526650138
miura_01632,miura,1632,1,36,6,0.0009467562771709,0.0053195571813448,0.0014409787156773,1381267653.9221,2259281679.3061,282575.123619213,132468.607069862,36493.2707111096,57322.2661973353,93229.1406225913,389914.073852725
miura_01696,miura,1696,1,36,9,0.0006556486094796,0.0027107854365211,0.0011147821185594,3617454584.15322,2665704351.18897,119951.549745515,35929.3251366755,11844.133258625,64266.2675858648,98875.6724312174,370711.971514137
miura_01398,miura,1398,1,24,9,0.0007284447387503,0.0027192780924673,0.0029455047080012,1635589970.47573,4026789747.89368,68316.3984634877,22227.2283412498,14325.5161888321,12196.2865326079,21804.1036506709,204335.659200395
miura_00664,miura,664,1,30,6,0.0007125454438978,0.0017023703384878,0.0031805668065643,3231506963.01816,2154640122.67773,20257.5288969395,7002.90705120287,4701.87886421387,20343.2612993075,31526.8996194688,117965.71303113
miura_01836,miura,1836,1,36,9,0.0005532719366,0.0021423922067173,0.0028261639953175,3070732171.37635,4464747464.67177,52407.4623990505,16653.4276611084,9151.68079663799,14518.1407093291,24413.5312806033,162320.560520997
miura_01258,miura,1258,1,24,6,0.0008428265902227,0.002024111082562,0.0012365493204389,3526513703.34307,4453404107.18935,126350.137944281,43253.1214832843,21569.2507581881,74774.7040226421,117445.095803466,444291.771670968
miura_01774,miura,1774,1,24,9,0.0009781114525555,0.0031093203934598,0.003608507038036,2791183814.01975,2927439604.48758,60688.342886615,19613.0367205785,12267.1317523937,35618.4270556627,59101.6086902177,342556.712962247
miura_01701,miura,1701,1,24,6,0.0007962235812599,0.0056693154055685,0.003745739513518,3989933663.62693,4817260685.77966,704262.487883857,252105.34482368,91279.7218261082,32913.2006892425,71545.1870942365,725035.880967529
miura_00318,miura,318,1,24,12,0.0007113947627904,0.0058461623076342,0.002620395482451,4845813076.5309,3828283542.11901,399472.302743281,107159.992953354,36922.1508313592,40426.9342739767,76727.5624273321,797479.653310765
miura_00649,miura,649,1,36,12,0.0006817952962908,0.0048115357268724,0.0019991282365408,2933913829.25822,2038894860.32312,182468.808741061,46832.180525748,13483.2751632643,36719.4371929856,62342.2659544335,386786.97674413
miura_01435,miura,1435,1,30,9,0.0005472879986571,0.0059035791638285,0.0036208985061572,2820150800.60129,2956220766.14241,363940.605007868,106026.045046873,34349.4952537696,12411.9961440666,29748.3071537137,414794.568389126
miura_01480,miura,1480,1,36,12,0.0009362475915806,0.0038190801753232,0.0025731591556796,2834334002.49349,3927093882.04589,158905.327742799,44316.1283348004,16391.9970812087,68653.1517661543,111745.535745394,602618.546544702
miura_00710,miura,710,1,24,6,0.0009617525190371,0.001746334574478,0.0033602169596351,3245449058.23363,3052549525.08875,25822.964001973,9072.73531564085,7447.2321390442,36743.2747593001,57898.2840718074,223105.755699192
miura_01383,miura,1383,1,24,12,0.0007059776386677,0.0023480752866016,0.0022688160900383,4675767661.32153,3042130568.33742,28230.9242084706,9289.32683096264,6609.45415646394,36014.1350709284,59994.4606757525,359669.771519719
miura_01283,miura,1283,1,36,6,0.0006950585726683,0.0046863043175106,0.0013665814964654,4314098698.47616,3244587855.28715,346334.062730764,159598.848908183,45004.2262998442,74429.435912029,120001.100211014,491343.862079834
miura_00973,miura,973,1,36,12,0.0009264291145769,0.0023188567406185,0.0034236010457301,4170401445.59906,2699971233.9071,21270.5301769477,6737.7752827468,4198.20290628028,68266.719239934,105050.080689711,409049.65082494
miura_00628,miura,628,1,24,9,0.0005595773111729,0.0012706567654783,0.0019275106409084,4775759839.34434,1056286535.73333,3224.88040442861,1172.86614981391,1206.75007648874,18630.3947944877,29326.9569633463,109616.231137957
miura_00633,miura,633,1,24,9,0.000541999747144,0.003194363687126,0.0012773357900969,3061812085.26214,4307643315.58018,234314.199867665,69396.2178311609,27702.7492771622,22345.1325885614,42095.8900885207,403875.467908463
miura_01307,miura,1307,1,30,12,0.000864552030732,0.0036151023215397,0.0020477328408678,1522316249.47722,2789140355.09685,107666.543425635,30463.9776985614,12158.9811870062,31789.2865026084,54081.4747351846,364884.310071142
miura_01401,miura,1401,1,24,12,0.0005050350428368,0.0054050785253119,0.0023320312455674,3390862414.10747,1024591250.78948,95565.2263133916,25778.6962789033,9024.00904010189,11110.82569467,20736.0834861647,203204.749988109
miura_01409,miura,1409,1,36,6,0.0008064889278305,0.0029733581092925,0.002513693910972,4019505780.90623,2955935948.40918,124326.23179684,48254.271792006,18276.0234707147,56681.750882977,86376.4591147154,293013.703650819
miura_01249,miura,1249,1,30,12,0.0009997220772997,0.0010749685200927,0.0016820657639506,1188251112.47025,2291907855.93629,3567.50525986937,1293.96798395661,1353.24636876079,39476.8463834897,61237.4875824553,226680.340953604
miura_01953,miura,1953,1,30,12,0.0005870190785531,0.0011858839844193,0.0032970960154396,4946954582.15682,4897407127.75508,5168.93219087081,1987.65721254718,2557.07651202292,18851.3208663826,30827.8865848158,177851.928491588
miura_01255,miura,1255,1,36,9,0.0007634563506219,0.0057492363053334,0.0013050140841102,1941129786.64327,1506313844.76362,284257.059225462,83066.1449227534,19388.3790357134,49144.4818220126,82256.9824438422,407322.607506455
miura_01497,miura,1497,1,24,6,0.0007763957891221,0.0058412621380188,0.0019050744887443,1196405025.73748,4872799802.15453,1020588.32945836,387402.044599798,115904.500173639,23525.5484747354,71582.1509141633,912674.802578257
miura_01372,miura,1372,1,36,12,0.0006552803409492,0.0038813517980987,0.0031960054178983,1016724514.00456,3731714991.26971,130924.528328426,37224.2308123282,14744.3391760148,9080.28225900232,18070.7550315307,234416.77457578
miura_01530,miura,1530,1,24,6,0.0005210824277807,0.0012736458578649,0.002503071217137,1815114444.19843,2785110199.4801,12532.6541737929,4496.68150944749,4223.39957955771,5097.80859632065,8522.50844464488,53322.8412988439
miura_01664,miura,1664,1,24,6,0.0007887360715602,0.0056421753865383,0.0014385368871998,1178892716.47914,4231815360.13785,919468.489595669,355223.973094381,101643.920482443,27417.2013196619,74965.4078370015,840082.577049719
miura_01355,miura,1355,1,24,6,0.0006105155322753,0.0023565080945385,0.0031329476026103,4849644621.28712,3350543924.45142,67218.518221398,22989.6273530032,14473.8699200207,17367.4814966344,29115.9015586155,174168.809329266
miura_01926,miura,1926,1,30,12,0.0008997590800478,0.0020794558663029,0.0029614246218649,4744286697.64137,3241106849.51949,19014.1634395444,6310.50016629205,4735.37613663592,68651.3671460127,108179.914454255,470278.180574269
