sample_id,best_candidate,true_pattern,generated_pattern,true_m,generated_m,true_n,generated_n,true_tcrease,generated_tcrease,true_tpanel,generated_tpanel,true_W,generated_W,true_creaseE,generated_creaseE,true_panelE,generated_panelE,closed_loop_scaled_mse
miura_01338,2,1.0,1.0,30.0,30.0,12.0,12.0,0.000520783883985132,0.0006087440997362137,0.005578177515417337,0.004803297575563192,0.0030737463384866714,0.0025320681743323803,3651665152.0,1763663360.0,3607740160.0,4512291840.0,0.0016731942305341363
miura_01692,2,1.0,1.0,24.0,30.0,6.0,6.0,0.0009152938728220761,0.0009254044853150845,0.005596816074103117,0.004652220290154219,0.0031683582346886396,0.0031241183169186115,1343052800.0,1006209344.0,1089507200.0,2022655360.0,0.005689996760338545
miura_00112,4,1.0,1.0,36.0,36.0,12.0,12.0,0.0009231955045834184,0.000920940947253257,0.003910746891051531,0.005201865918934345,0.002541233552619815,0.0036107173655182123,2823262464.0,3929610752.0,3105421312.0,2091886592.0,0.0008149031782522798
miura_01276,5,1.0,1.0,36.0,36.0,6.0,6.0,0.0007848856621421874,0.0007621523109264672,0.005817917175590992,0.004851226694881916,0.003890874097123742,0.002110648900270462,2672906240.0,1531430912.0,1260513792.0,1474416384.0,0.00031275945366360247
miura_00345,1,1.0,1.0,36.0,24.0,9.0,9.0,0.0005313088186085224,0.0006064624758437276,0.0027523431926965714,0.003611598862335086,0.003532695583999157,0.0026456178165972233,3427521792.0,2314994176.0,2177396480.0,1044488000.0,0.0009504453628323972
miura_01610,4,1.0,1.0,24.0,24.0,12.0,12.0,0.0009849626803770661,0.0008781736833043396,0.0022873415146023035,0.0018607820384204388,0.0035570221953094006,0.0032051410526037216,1240895232.0,1516971008.0,2544589056.0,3090936832.0,0.0003128228709101677
miura_01396,7,1.0,1.0,30.0,24.0,9.0,9.0,0.0008032459882088006,0.000906135595869273,0.0014406121335923672,0.0019210161408409476,0.002722347155213356,0.0028221907559782267,3573296640.0,3202327040.0,2738993920.0,1354738560.0,0.00037932879058644176
miura_01055,5,1.0,1.0,30.0,36.0,9.0,9.0,0.0006599272601306438,0.0008690240210853517,0.0016278059920296073,0.00164559215772897,0.0012463540770113468,0.0021569824311882257,3677498368.0,2193975552.0,1240724736.0,1481888640.0,0.0003418490232434124
miura_00759,2,1.0,1.0,30.0,36.0,12.0,12.0,0.0008322462672367692,0.000668739783577621,0.0029076237697154284,0.0017059724777936935,0.0037721076514571905,0.002015648642554879,2506905856.0,2172285696.0,2026903168.0,4498922496.0,0.00017548893811181188
miura_01232,6,1.0,1.0,30.0,36.0,6.0,6.0,0.0009481294546276331,0.0007496694452129304,0.0032923000399023294,0.0018811431946232915,0.0020963249262422323,0.0010325848124921322,4981301248.0,4557218304.0,2261427456.0,4662756352.0,0.0012709099100902677
