sample_id,source_name,source_row,pattern,m,n,tcrease,tpanel,W,creaseE,panelE,bendstiff30,bendstiff60,bendstiff90,axialstiff30,axialstiff60,axialstiff90
miura_01744,miura,1744,1,24,9,0.0005333041144468,0.00111387055018,0.0014792861246714,4357322734.65043,4829631283.8432,12434.511717699,4515.74900159054,4654.23123389622,21344.5037241406,34993.6115129188,190109.578887115
miura_01745,miura,1745,1,30,12,0.0007648580761356,0.0016947915660513,0.0023848048631648,1563351183.3483,3492453469.92482,13727.9449405038,4656.30270908744,3811.27201351978,18578.3091675512,30621.2257495352,184968.61803939
miura_01746,miura,1746,1,30,6,0.0007809692621863,0.0021697167136582,0.0020140900895842,4653566528.84735,1325932052.36743,33060.5186294893,11637.081779886,5578.00878068644,55505.4816373014,80904.3317565157,197617.364598686
miura_01747,miura,1747,1,30,9,0.000512100101293,0.0047713193765745,0.0038451382237755,1727922803.65338,1264661835.21182,88188.7316289499,26351.8261133595,10128.2264950228,5000.77098795557,10306.1902257662,122962.681305363
miura_01748,miura,1748,1,30,9,0.0007849173050867,0.0030776900254925,0.0033475126289256,3297294116.00483,4930463255.51484,120940.618867314,37780.3716442745,19305.0980168143,31188.0560604256,52946.0622218308,357109.216445787
miura_01749,miura,1749,1,30,12,0.0007615934067633,0.0052150962654981,0.0035425410008679,3297077963.77547,3511514568.5177,229058.095487632,63425.9996258276,23515.0317332125,29972.927896078,54620.4186837448,501816.8698118
miura_01750,miura,1750,1,30,6,0.0006264769873768,0.001659141022512,0.0034957414286814,2361210427.40846,2035240466.2069,16419.8606511524,5689.75427401026,4035.8232768305,9718.45742704631,15455.3550051003,71395.08147737
miura_01752,miura,1752,1,24,9,0.0006999606163202,0.0016998416677629,0.0010608355033038,3179749303.28234,3247078613.25845,37684.5199325663,12155.0591346835,7536.66339853247,47407.94743597,75921.377451795,341891.218042564
miura_01753,miura,1753,1,36,9,0.0006012045253364,0.0034853455811183,0.0023982556369302,2173011429.92639,4176378124.13105,199945.80803798,60337.9505829033,21705.106702996,17207.209866634,32411.5012286638,289213.17066761
miura_01754,miura,1754,1,36,12,0.0006863981223289,0.0046062219738455,0.0035332953517212,1829088734.18132,1761529058.42016,90117.8897294084,24973.6555115986,9029.49294979613,14118.3691764332,24976.4773911497,200125.117819709
miura_01756,miura,1756,1,30,12,0.0006243991605024,0.0013833126850496,0.0015821592816247,1119013739.31246,2214466740.94861,7141.25695485388,2421.05349041759,1977.401529971,10825.6372423866,17766.1901790798,103979.576851764
miura_01757,miura,1757,1,30,12,0.0009625422293116,0.0039587257848599,0.0032615427043742,1779082728.88795,1463609951.12427,48242.2353288759,14089.9933319431,6317.86864419339,30504.9979584537,49936.2847378652,275708.774715075
miura_01758,miura,1758,1,30,12,0.0008639083380994,0.0019767691952494,0.0011734165193623,4019525120.51911,2222190796.54604,26865.5597676002,8158.7256646057,4269.1997086795,123310.741973507,184572.883348305,562136.984905679
miura_01760,miura,1760,1,30,12,0.0008145225137686,0.0055171548167471,0.0035518035182396,2513237874.71728,4859743963.82112,367916.301818978,100532.072432735,35713.9664996314,30360.2855675622,58832.9057105478,665124.971960722
miura_01761,miura,1761,1,24,9,0.0008305032619496,0.0010930404312085,0.001669038120675,4039856367.89566,4824139163.36741,10923.289799934,4043.63501855578,4455.82222688814,60241.184965791,95529.5201830287,379621.206901065
miura_01762,miura,1762,1,24,9,0.0009702739275732,0.0012645579139163,0.0013245950420049,2942772180.93849,4547877894.2446,19194.4613045511,6700.05719406682,5885.11777810686,87403.2854897984,136873.764356849,499385.612668435
miura_01763,miura,1763,1,24,12,0.0006874559447016,0.0020027095818434,0.0038558929817672,2017594567.00753,3871421603.02097,13768.2120626943,5035.27957565162,5235.05669419395,9327.05012259831,16129.2444616317,137868.733515986
miura_01764,miura,1764,1,24,9,0.0006534178682111,0.0052568555362458,0.0039562418517776,2492429897.35268,1822216558.92502,146090.200966597,43710.7326560687,18399.4669409884,10994.6666537038,21554.6940736474,242257.696020194
miura_01765,miura,1765,1,36,9,0.0006352843387232,0.0040300569148244,0.0017382800632528,2536579862.47657,4655408524.82462,385629.320030357,114397.494900872,33844.9069247774,31793.8547274479,60410.0430915731,492747.945533427
miura_01766,miura,1766,1,36,9,0.0005165144143259,0.0019038954467508,0.0029167014646746,4764033559.50007,4428513998.21058,36505.7255923378,11788.1480265892,7203.04596040704,17132.0258348825,28027.4755750889,162509.955591791
miura_01767,miura,1767,1,36,9,0.0008405590836518,0.0010493697142511,0.0018418550082127,1191687650.54744,3229661496.65693,7664.67258147864,2611.1006599717,2147.19787919983,26267.0984445847,40278.1038391875,149576.834624685
